pressure_series__bar,reference_pressure_round__bar,filename,time__s,pressure__bar,mass__g,mass_flow_rate__g_per_s,basket_pressure__bar
1.0000,1.0000,1-1.txt,0.0000,0.9898,0.0918,0.0340,0.7053
1.0000,1.0000,1-1.txt,0.0940,0.9950,0.1024,0.0330,0.7106
1.0000,1.0000,1-1.txt,0.1880,1.0040,0.0596,0.0319,0.7197
1.0000,1.0000,1-1.txt,0.2810,0.9747,0.1057,0.0309,0.6904
1.0000,1.0000,1-1.txt,0.3750,0.9972,0.1000,0.0298,0.7130
1.0000,1.0000,1-1.txt,0.4680,0.9905,0.0803,0.0288,0.7063
1.0000,1.0000,1-1.txt,0.5610,0.9823,0.0913,0.0277,0.6981
1.0000,1.0000,1-1.txt,0.6540,0.9965,0.0976,0.0267,0.7123
1.0000,1.0000,1-1.txt,0.7490,1.0340,0.1192,0.0256,0.7499
1.0000,1.0000,1-1.txt,0.8420,1.0092,0.1028,0.0246,0.7252
1.0000,1.0000,1-1.txt,0.9350,1.0017,0.0879,0.0235,0.7177
1.0000,1.0000,1-1.txt,1.0290,0.9455,0.1062,0.0225,0.6615
1.0000,1.0000,1-1.txt,1.1220,0.9552,0.1115,0.0214,0.6713
1.0000,1.0000,1-1.txt,1.2160,0.9695,0.1307,0.0204,0.6856
1.0000,1.0000,1-1.txt,1.3100,0.9830,0.1115,0.0194,0.6991
1.0000,1.0000,1-1.txt,1.4030,0.9530,0.1201,0.0183,0.6692
1.0000,1.0000,1-1.txt,1.4960,0.9658,0.1100,0.0143,0.6821
1.0000,1.0000,1-1.txt,1.5890,0.9635,0.1129,0.0164,0.6797
1.0000,1.0000,1-1.txt,1.6840,0.9612,0.1264,0.0158,0.6775
1.0000,1.0000,1-1.txt,1.7770,0.9665,0.1519,0.0079,0.6830
1.0000,1.0000,1-1.txt,1.8700,0.9620,0.1461,0.0115,0.6784
1.0000,1.0000,1-1.txt,1.9640,1.0063,0.1365,0.0148,0.7225
1.0000,1.0000,1-1.txt,2.0570,0.9920,0.1841,0.0145,0.7083
1.0000,1.0000,1-1.txt,2.1510,0.9695,0.1716,0.0112,0.6859
1.0000,1.0000,1-1.txt,2.2440,0.9875,0.1413,0.0085,0.7040
1.0000,1.0000,1-1.txt,2.3380,0.9793,0.1451,0.0131,0.6956
1.0000,1.0000,1-1.txt,2.4310,0.9950,0.1485,0.0118,0.7114
1.0000,1.0000,1-1.txt,2.5240,0.9628,0.1485,0.0053,0.6794
1.0000,1.0000,1-1.txt,2.6190,0.9860,0.1418,0.0014,0.7028
1.0000,1.0000,1-1.txt,2.7120,0.9958,0.1264,0.0015,0.7125
1.0000,1.0000,1-1.txt,2.8050,0.9942,0.1350,0.0047,0.7109
1.0000,1.0000,1-1.txt,2.8980,0.9980,0.1437,0.0113,0.7144
1.0000,1.0000,1-1.txt,2.9920,0.9747,0.1326,0.0151,0.6910
